"cluster","threshold","distance","on_edge","criterion"
"south",0.975,6.6256590811634,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,6.61592089100222,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,6.25890521065257,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,5.26127360719872,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,3.29512499562437,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,4.02193305406738,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.190157973264789,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.235574989221311,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,4.74393528360338,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,5.43408876997691,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,6.11943642744346,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,6.04107592972242,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,5.47231810347388,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.29178770244183,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.172918248110249,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.0540487937786743,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,5.03943352874868,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.106566638133847,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,4.77948459395748,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,4.72112417811786,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,4.87160259613527,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,5.21286562576351,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,5.71081273007562,FALSE,"High-evidence zone (P >= 0.975)"
"south",0.975,0.128031119673145,FALSE,"High-evidence zone (P >= 0.975)"
